bowl_oatmeal[dry],bowl_oatmeal+raisins+banana,bowl_oatmeal+raisins,bowl_oatmeal+raisins+banana+cinnamon+honey,bowl_oatmeal+raisins+banana+cinnamon,bowl_oatmeal+water,bowl_empty,bowl_oatmeal[cooked],tortilla_hoi,mug_hoi,bowl_hoi,plate_hoi,microwave_oven_hoi,tortilla_package_hoi,banana_hoi,banana_slice_hoi,cutting_board_hoi,knife_hoi,jar_hoi,jar_lid_hoi,toothpicks_hoi,measuring_cup_hoi,paper_towel_hoi,thermometer_hoi,kettle_hoi,teabag_hoi,scale_hoi,coffee_grinder_hoi,paper_filter_hoi,spoon_hoi,fork_hoi,honey_jar_hoi,unknown_hoi,person_hoi,watch_hoi,peanut_butter_jar_hoi,jelly_jar_hoi,glove_hoi,step
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
0.06916106897978194,0.0053975329208144195,0.15556213546570058,0.025626935641946246,0.01903625586963621,0.07671460280461376,0.22041304712926246,0.4280884211882444,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,5
